YEAR     JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     DJF     MAM     JJA     SON     ANN
1762    -1.5   -3.6   -2.3    6.0    7.4   12.0   12.8   11.2    9.4   -0.3    0.3    0.2   -0.33    0.03   10.73    6.77    4.30
1763    -2.7   -3.5   -1.6    1.6    7.4   13.6   16.1   13.4   10.5    5.5    1.6   -5.0   -2.03   -1.17   12.37    9.80    4.74
1764    -3.0   -0.7    1.3    3.8    7.4    8.7   15.8   12.2    8.3    4.4   -0.5   -4.9   -2.80    1.47   10.63    8.30    4.40
1765    -6.6   -6.8    0.6    4.0    6.3    9.5   12.0   10.9    8.3    3.7    1.2   -2.3   -2.57   -0.73    9.27    7.63    3.40
1766    -2.1   -2.8    0.4    7.4    6.2   15.7   20.5   13.4    9.4    4.7    3.1   -2.9   -0.63    1.67   14.13    9.17    6.08
1767    -9.1   -3.1   -0.6    2.5    7.1   10.8   13.2   14.8   11.2    4.3    2.2   -2.7   -3.20   -0.40   10.37   10.10    4.22
1768    -4.6   -5.0   -2.4    0.7    9.6   13.6   15.9   14.3    8.5    0.8   -0.8   -0.4   -1.93   -2.23   13.03    7.87    4.18
1769    -2.6   -4.8    0.5    5.0    8.8   12.6   14.6   13.3   10.2    2.3   -1.2   -3.2   -2.33    0.23   12.00    8.60    4.62
1770    -5.0   -1.2   -9.0    1.4   10.5   13.9   17.5   14.6   12.0    5.0   -3.7   -7.0   -5.23   -2.93   13.97   10.53    4.08
1771    -7.3   -4.4   -3.7    0.5   10.7   16.3   13.7   12.7    9.6    3.4    0.9    0.6   -1.93   -2.53   13.57    8.57    4.42
1772    -5.1   -7.6   -3.6    2.5    6.3   12.2   14.5   13.6    9.4    6.7    2.8   -0.7   -1.00   -2.90   11.00    9.90    4.25
1773    -2.7   -2.9    0.4    5.1    9.2   11.8   14.8   14.9   10.3    5.9    1.1   -2.2   -1.27    0.87   11.93   10.37    5.47
1774    -9.0   -3.0   -0.8    4.2    8.2   13.3   14.9   13.6    9.4    5.0   -4.7   -4.2   -5.97    0.13   12.13    9.33    3.91
1775    -4.3   -1.2    0.6    4.6    9.3   14.0   16.3   15.6   12.4    5.9   -1.5   -1.3   -2.37    1.33   13.20   11.30    5.87
1776    -9.8   -2.3    0.0    4.1    7.0   13.2   16.1   14.2    9.6    5.1    0.7   -2.0   -3.70    0.60   12.10    9.63    4.66
1777    -5.4   -4.9   -1.6    2.7    9.1   11.5   13.4   14.0    9.8    4.4    1.6   -2.1   -1.97   -1.27   11.33    9.40    4.38
1778    -4.8   -2.8   -1.0    4.7    9.3   13.1   16.0   14.1    8.9    1.0    0.3   -0.1   -1.53    0.30   12.80    8.00    4.89
1779    -3.2    2.0    3.3    6.1    9.2   12.3   15.8   17.0   11.5    7.0    0.5   -4.2   -2.30    3.80   12.43   11.83    6.44
1780    -5.3   -2.6    1.5   -2.5    9.3   10.3   14.0   15.0    9.6    5.2   -2.4   -3.2   -3.63   -1.20   11.20    9.93    4.08
1781    -3.1   -4.0    2.0    0.5    7.3   14.4   14.5   14.9   12.9    4.9    1.3   -4.1   -1.97   -0.50   12.07   10.90    5.13
1782    -3.9   -1.5   -2.7    2.4    4.5   11.4   13.8   15.7   10.9    1.9   -2.8   -1.8   -2.83   -0.60    9.90    9.50    3.99
1783    -5.9   -2.6   -1.6    5.9    9.4   12.8   17.2   13.4   12.4    5.3    1.9   -3.1   -2.37    0.57   13.13   10.37    5.43
1784    -6.8   -3.7   -8.1    1.2    8.8   12.5   12.9   11.5    8.8    2.8    0.4   -5.6   -4.00   -3.53   11.40    7.70    2.89
1785    -4.7   -4.9   -2.2    1.3    6.8   13.2   16.2   13.6    8.9    3.4    0.7   -3.4   -2.47   -1.93   12.07    8.63    4.08
1786    -7.3   -3.8   -5.5    2.3    7.6   13.1   12.7   15.4   10.5    4.9   -3.8   -1.8   -4.30   -2.33   11.13   10.27    3.69
1787    -1.3    0.4    0.6    0.4    8.5   13.8   12.9   11.3   11.0    5.4   -1.7   -3.8   -2.27    0.47   11.73    9.23    4.79
1788    -3.3   -5.2   -3.8    7.1    8.1   13.4   17.1   14.4   12.3    4.1    0.5   -9.6   -4.13   -0.63   12.87   10.27    4.59
1789    -6.8   -2.7   -7.9    2.1    8.5   15.6   16.7   15.5   11.9    6.4    1.1    1.7   -1.33   -2.83   13.60   11.27    5.18
1790    -0.4    1.2    4.0    0.4   11.2   10.5   13.3   12.8    9.3    3.2   -0.4   -1.6   -0.80    1.87   11.67    8.43    5.29
1791     0.4   -0.5    2.3    2.8    8.1   10.4   17.4   14.3    8.8    3.2   -1.1   -3.1   -1.27    1.53   11.97    8.77    5.25
1792    -6.6   -4.0   -1.3    4.1    8.1   13.9   16.9   13.5   10.6    2.4    4.4   -1.0   -1.07   -0.40   12.97    8.83    5.08
1793    -2.3   -3.3   -0.2    5.9    8.5   13.8   12.9   13.8    9.8    5.0   -1.2   -5.0   -2.83    0.80   11.73    9.53    4.81
1794    -6.7   -2.8    3.8    8.8    8.8   11.8   15.4   15.1   10.0    5.0   -2.3   -1.6   -3.53    3.27   12.00   10.03    5.44
1795    -4.7   -6.6   -5.0    7.8    5.9   11.4   14.1   14.5   10.3    4.8    0.3   -4.0   -2.80   -1.27   10.47    9.87    4.07
1796    -0.8   -1.8   -1.6    6.3    8.7   11.9   16.6   14.7   10.3    4.4    0.1   -6.0   -2.23    0.97   12.40    9.80    5.23
1797    -0.9    3.1    0.7    8.4    8.1   12.3   15.4   15.3   12.5    5.8   -0.6   -2.6   -1.37    4.07   11.93   11.20    6.46
1798    -3.8   -1.2   -1.2    5.6   14.1   13.2   17.9   14.4   11.8    6.8    2.7   -6.3   -2.47    1.07   15.07   11.00    6.17
1799    -3.3   -9.3   -1.7    1.8    6.7    9.4   14.5   12.3    9.2    4.0    5.3   -2.5   -0.17   -3.07   10.20    8.50    3.87
1800    -8.1   -0.1   -2.5    5.3    8.7    8.5   11.5   12.1   10.3    5.0    2.5   -2.1   -2.57    0.90    9.57    9.13    4.26
1801    -3.3   -6.0   -0.5    5.8   12.8   11.0   14.9   11.9   11.3    4.6   -0.7   -8.6   -4.20   -0.23   12.90    9.27    4.43
1802    -5.9   -3.8    0.2    6.4    5.6   12.2   13.3   13.3    9.4    6.2   -0.4   -2.9   -3.07    0.93   10.37    9.63    4.47
1803    -7.3   -4.3   -0.7    6.5    7.6   11.2   15.7   14.5    8.6    4.1   -0.8   -4.5   -4.20    0.50   11.50    9.07    4.22
1804    -2.9   -5.2   -2.9    3.0    9.6   12.5   15.1   14.5   10.7    5.9   -2.1   -5.9   -3.63   -1.70   12.40   10.37    4.36
1805    -5.5   -5.3   -1.1    3.1    6.3    9.4   14.5   13.7   10.9    1.7   -0.4   -3.0   -2.97   -1.10   10.07    8.77    3.69
1806    -3.5   -2.6   -1.9    1.4    8.4    9.7   13.0   14.1   11.0    4.8    0.7   -0.6   -1.13   -1.03   10.37    9.97    4.54
1807    -3.8   -2.7   -2.2    2.0    7.4   11.4   14.7   15.9    7.8    4.4   -1.2   -2.7   -2.57   -0.97   11.17    9.37    4.25
1808    -3.1   -5.1   -2.7    1.5    9.5   13.1   16.1   15.1   10.8    4.5   -1.0   -5.7   -3.27   -2.10   12.90   10.13    4.42
1809    -9.3   -4.0   -1.8    0.4    9.3   11.5   14.2   14.4    9.9    4.4   -1.0   -0.7   -3.67   -1.80   11.67    9.57    3.94
1810    -3.3   -3.3   -3.0    2.7    5.4   11.7   14.7   13.8   10.5    4.2   -1.0   -3.1   -2.47   -1.20   10.60    9.50    4.11
1811    -4.7   -2.5    2.0    2.9   10.2   13.2   16.3   13.6   10.3    5.3    0.7   -2.3   -2.10    0.80   13.23    9.73    5.42
1812    -4.1   -1.8   -3.8    0.2    6.5   11.2   12.0   13.9    8.0    6.4   -1.3   -6.2   -3.87   -1.80    9.90    9.43    3.42
1813    -3.9    0.0    1.1    4.0    7.9   12.0   15.3   13.4   10.2    2.4    0.0   -2.0   -1.97    1.70   11.73    8.67    5.03
1814   -10.5   -5.9   -1.9    5.4    6.2   10.5   15.1   13.5    9.6    4.1    0.8   -2.5   -4.07   -0.80   10.60    9.07    3.70
1815    -4.9   -0.8    0.9    4.8    8.8   11.8   13.1   13.4    9.2    5.5   -0.6   -3.8   -3.10    1.63   11.23    9.37    4.78
