Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1860,-15.0,-11.0,-16.9,-9.8,2.0,5.3,7.2,4.8,1.0,-7.0,-5.6,-9.4,-11.7,-8.23,5.77,-3.87,-4.53
1861,-17.5,-18.5,-24.1,-16.5,-1.4,2.9,5.4,5.0,0.3,-6.4,-10.0,-11.3,-15.13,-14.0,4.43,-5.37,-7.67
1862,-19.8,-11.8,-19.9,-19.2,-1.8,2.5,6.3,5.5,0.4,-7.3,-10.9,-17.5,-14.3,-13.63,4.77,-5.93,-7.79
1863,-21.3,-31.3,-21.8,-14.7,-1.2,2.0,4.2,2.7,0.0,-7.9,-10.6,-24.1,-23.37,-12.57,2.97,-6.17,-10.33
1864,-21.4,-17.7,-14.1,-14.5,0.3,3.7,3.8,5.1,2.2,-1.6,-7.0,-9.0,-21.07,-9.43,4.2,-2.13,-5.85
1865,-19.0,-15.2,-11.6,-14.0,-0.9,0.6,7.0,2.1,-1.6,-1.7,-9.9,-14.4,-14.4,-8.83,3.23,-4.4,-6.55
1866,-22.9,-20.0,-15.0,-9.7,-0.7,2.5,6.1,3.4,-0.4,-6.9,-11.3,-17.8,-19.1,-8.47,4.0,-6.2,-7.72
1867,-10.8,-21.6,-15.6,-9.7,0.1,3.4,8.3,5.9,1.5,-5.1,-5.2,-9.3,-16.73,-8.4,5.87,-2.93,-4.84
1868,-15.0,-30.4,-22.4,-9.6,-1.9,1.4,4.2,4.6,2.2,-7.0,-8.9,-12.7,-18.23,-11.3,3.4,-4.57,-7.96
1869,-19.5,-20.8,-11.7,-12.4,0.7,2.8,5.6,3.8,0.8,-1.2,-10.9,-13.4,-17.67,-7.8,4.07,-3.77,-6.35
1870,-14.5,-16.0,-21.4,-15.4,-2.9,2.9,5.8,6.3,-1.5,-4.5,-2.5,-5.4,-14.63,-13.23,5.0,-2.83,-5.76
1871,-16.9,-12.8,-23.9,-8.2,0.1,6.0,6.6,4.7,1.1,-3.0,-4.2,-6.8,-11.7,-10.67,5.77,-2.03,-4.78
1872,-12.1,-8.8,-11.0,-5.5,-0.1,4.4,7.5,6.7,3.6,-3.2,-8.8,-8.7,-9.23,-5.53,6.2,-2.8,-3.0
1873,-18.3,-11.7,-17.7,-8.9,1.6,2.5,7.9,4.9,0.7,-5.1,-7.2,-14.7,-12.9,-8.33,5.1,-3.87,-5.5
1874,-23.6,-15.2,-14.4,-7.0,3.3,4.9,7.6,6.1,1.2,-9.7,-7.3,-6.5,-17.83,-6.03,6.2,-5.27,-5.05
1875,-9.9,-12.4,-20.1,-6.0,-5.2,1.5,6.6,5.0,2.1,-1.3,-4.9,-8.5,-9.6,-10.43,4.37,-1.37,-4.43
1876,-17.5,-15.6,-13.6,-10.8,-1.2,3.3,5.9,5.2,4.1,-3.6,-7.0,-6.9,-13.87,-8.53,4.8,-2.17,-4.81
1877,-15.9,-17.0,-11.9,-6.5,1.9,5.6,6.7,6.6,4.4,-2.2,-10.7,-13.8,-13.27,-5.5,6.3,-2.83,-4.4
1878,-15.3,-16.7,-13.1,-6.9,-1.2,4.0,7.0,6.5,0.1,-3.6,-1.2,-2.6,-15.27,-7.07,5.83,-1.57,-3.58
1879,-9.3,-16.7,-17.0,-7.6,0.2,3.3,6.7,6.2,-0.8,-4.5,-6.8,-14.0,-9.53,-8.13,5.4,-4.03,-5.02
1880,-18.1,-26.3,-19.4,-8.5,0.4,3.7,7.2,4.0,0.9,-0.8,-11.6,-13.0,-19.47,-9.17,4.97,-3.83,-6.79
1881,-8.0,-15.8,-19.4,-5.7,2.3,3.2,7.4,4.7,1.0,-1.2,-7.3,-15.3,-12.27,-7.6,5.1,-2.5,-4.51
1882,-25.4,-23.3,-20.3,-9.7,0.1,4.6,5.7,4.7,1.6,-5.8,-10.6,-12.7,-21.33,-9.97,5.0,-4.93,-7.59
1883,-15.6,-19.8,-7.9,-7.8,0.9,3.7,7.1,4.4,3.3,-5.9,-8.5,-19.4,-16.03,-4.93,5.07,-3.7,-5.46
1884,-26.4,-24.1,-22.8,-9.9,-2.6,3.4,6.4,3.9,-1.6,-6.3,-11.5,-16.8,-23.3,-11.77,4.57,-6.47,-9.03
1885,-12.3,-16.3,-13.6,-8.1,1.0,1.8,7.1,5.9,0.3,-4.9,-11.2,-12.2,-15.13,-6.9,4.93,-5.27,-5.21
1886,-20.3,-22.3,-20.8,-17.0,-0.2,3.3,6.6,4.7,2.4,-4.2,-9.0,-13.2,-18.27,-12.67,4.87,-3.6,-7.5
1887,-19.0,-24.9,-23.2,-17.4,-4.3,2.7,6.9,5.1,1.0,-2.6,-6.8,-12.9,-19.03,-14.97,4.9,-2.8,-7.95
1888,-13.3,-16.1,-16.5,-8.3,-1.3,5.4,7.4,7.2,1.0,-3.6,-9.6,-15.9,-14.1,-8.7,6.67,-4.07,-5.3
1889,-23.2,-13.8,-15.6,-6.7,-0.1,3.0,7.5,4.2,2.2,-3.2,-10.9,-14.9,-17.63,-7.47,4.9,-3.97,-5.96
1890,-19.8,-22.0,-20.5,-10.5,0.4,3.8,6.7,5.1,-0.1,-5.1,-10.3,-10.7,-18.9,-10.2,5.2,-5.17,-6.92
1891,-16.8,-28.6,-18.3,-13.9,0.4,6.3,5.4,6.4,0.2,-7.2,-9.2,-14.3,-18.7,-10.6,6.03,-5.4,-7.47
1892,-16.4,-14.5,-16.6,-10.2,-0.1,6.9,7.2,5.6,0.5,0.2,-8.5,-9.9,-15.07,-8.97,6.57,-2.6,-4.65
1893,-12.9,-18.2,-14.7,-11.2,-2.7,4.5,7.9,6.7,3.5,-4.2,-6.0,-15.6,-13.67,-9.53,6.37,-2.23,-5.24
1894,-20.8,-27.9,-25.4,-16.1,-0.5,1.1,7.2,6.1,0.9,-3.4,-11.6,-15.9,-21.43,-14.0,4.8,-4.7,-8.86
1895,-12.2,-8.5,-12.5,-10.7,-2.3,2.5,6.8,5.3,-0.5,-2.2,-9.8,-12.3,-12.2,-8.5,4.87,-4.17,-4.7
1896,-21.7,-27.6,-21.1,-17.6,-4.7,3.6,7.7,6.8,2.7,-1.5,-10.2,-14.0,-20.53,-14.47,6.03,-3.0,-8.13
1897,-18.8,-26.1,-14.8,-14.5,-3.1,4.3,7.4,4.8,1.6,-2.5,-10.4,-12.4,-19.63,-10.8,5.5,-3.77,-7.04
1898,-21.2,-29.6,-17.5,-13.9,-1.2,4.9,5.2,4.4,1.8,-2.1,-12.2,-22.3,-21.07,-10.87,4.83,-4.17,-8.64
1899,-17.8,-23.4,-14.7,-7.4,0.7,4.8,6.5,6.0,2.7,-6.1,-11.5,-13.9,-21.17,-7.13,5.77,-4.97,-6.17
1900,-18.8,-8.3,-8.2,-9.6,1.7,6.7,8.4,6.7,0.8,-2.9,-10.0,-16.8,-13.67,-5.37,7.27,-4.03,-4.19
1901,-20.6,-5.4,-14.2,-11.1,-2.1,2.3,6.5,5.4,2.4,-5.2,-4.7,-10.4,-14.27,-9.13,4.73,-2.5,-4.76
1902,-17.0,-14.9,-19.3,-8.2,0.5,5.1,8.0,7.6,2.7,-1.6,-8.9,-14.5,-14.1,-9.0,6.9,-2.6,-5.04
1903,-15.3,-19.6,-21.4,-9.1,-0.8,3.9,7.8,4.5,3.3,-0.9,-8.1,-5.8,-16.47,-10.43,5.4,-1.9,-5.13
1904,-18.1,-18.3,-17.3,-13.5,1.0,5.1,7.3,8.6,1.7,-8.1,-8.6,-8.3,-14.07,-9.93,7.0,-5.0,-5.71
1905,-20.4,-17.9,-9.6,-1.5,1.1,3.7,7.9,6.3,-0.1,-1.2,-6.1,-15.1,-15.53,-3.33,5.97,-2.47,-4.41
1906,-21.9,-23.4,-18.9,-12.4,1.0,4.0,7.8,9.3,3.2,-4.2,-11.7,-12.8,-20.13,-10.1,7.03,-4.23,-6.67
1907,-20.0,-20.5,-21.8,-14.1,-1.7,4.2,7.8,6.5,1.9,-0.6,-10.7,-9.9,-17.77,-12.53,6.17,-3.13,-6.57
1908,-16.3,-20.6,-10.9,-4.2,-0.2,4.4,10.1,5.6,4.7,-5.6,-7.9,-12.8,-15.6,-5.1,6.7,-2.93,-4.48
1909,-24.7,-14.9,-8.9,-7.2,2.1,6.1,7.4,5.4,3.3,-7.4,-7.2,-18.2,-17.47,-4.67,6.3,-3.77,-5.35
1910,-25.6,-25.5,-20.2,-9.1,-0.1,2.5,7.1,8.3,1.4,-3.3,-11.5,-12.8,-23.1,-9.8,5.97,-4.47,-7.4
1911,-18.5,-27.0,-15.4,-6.4,0.1,4.0,7.7,6.6,1.9,-1.1,-7.1,-13.9,-19.43,-7.23,6.1,-2.1,-5.76
1912,-10.7,-10.3,-13.9,-5.8,0.8,6.6,6.7,7.2,3.1,-5.7,-7.5,-11.1,-11.63,-6.3,6.83,-3.37,-3.38
