Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1873,-21.5,-16.7,-22.0,-15.0,-4.0,-0.9,4.2,1.3,0.4,-5.5,-9.6,0.1,,-13.67,1.53,-4.9,-7.43
1874,-29.3,-19.3,-18.0,-11.0,-1.0,1.1,5.2,2.3,0.1,-5.5,-8.1,-8.2,-16.17,-10.0,2.87,-4.5,-7.64
1875,-15.3,-19.4,-24.9,-14.0,-9.1,-1.3,3.9,2.2,-0.1,-4.7,-5.7,-13.9,-14.3,-16.0,1.6,-3.5,-8.52
1876,-24.2,-20.9,-19.7,-14.2,-5.8,0.0,3.2,1.7,3.2,-6.4,-9.6,-14.2,-19.67,-13.23,1.63,-4.27,-8.91
1877,-20.8,-26.2,-16.8,-11.3,-1.2,0.5,3.8,4.5,3.0,-3.0,-10.2,-19.1,-20.4,-9.77,2.93,-3.4,-8.07
1878,-22.6,-26.6,-18.5,-12.3,-5.2,1.0,2.4,3.6,-0.9,-4.2,-2.2,-3.6,-22.77,-12.0,2.33,-2.43,-7.42
1879,-13.2,-25.0,-20.3,-12.3,-2.2,-0.9,4.4,5.1,-1.1,-5.7,-8.3,-16.4,-13.93,-11.6,2.87,-5.03,-7.99
1880,-22.3,-28.6,-21.6,-10.0,-2.6,1.3,4.8,2.2,0.8,-0.5,-9.6,-14.5,-22.43,-11.4,2.77,-3.1,-8.38
1881,-13.2,-19.6,-25.4,-12.1,-2.6,0.4,4.5,3.5,0.4,-3.0,-9.6,-17.4,-15.77,-13.37,2.8,-4.07,-7.84
1882,-27.2,-25.3,-23.9,-14.1,-2.7,2.2,2.5,3.4,1.0,-6.3,-12.3,-16.9,-23.3,-13.57,2.7,-5.87,-9.97
1883,-19.6,-21.1,-11.7,-12.1,-1.4,2.1,5.4,3.7,2.2,-4.3,-9.1,-21.0,-19.2,-8.4,3.73,-3.73,-7.24
1884,-25.7,-24.5,-21.7,-12.9,-5.9,0.7,4.3,2.5,-1.6,-5.3,-12.0,-20.6,-23.73,-13.5,2.5,-6.3,-10.23
1885,-15.6,-18.0,-22.0,-12.1,-1.5,-1.3,4.4,4.5,-0.8,-4.8,-13.4,-18.4,-18.07,-11.87,2.53,-6.33,-8.25
1886,-23.9,-24.8,-22.6,-17.7,-2.3,0.3,4.5,3.5,0.5,-6.4,-12.1,-18.5,-22.37,-14.2,2.77,-6.0,-9.96
1887,-25.1,-28.5,-27.4,-12.9,-6.6,0.5,4.0,3.6,-0.4,-4.1,-11.6,-19.5,-24.03,-15.63,2.7,-5.37,-10.67
1888,-20.1,-22.3,-21.1,-15.2,-6.5,2.0,7.1,6.6,0.5,-5.2,-9.4,-21.8,-20.63,-14.27,5.23,-4.7,-8.78
1889,-26.5,-18.6,-22.8,-14.0,-3.9,0.1,4.1,2.6,0.9,-4.0,-14.4,-22.8,-22.3,-13.57,2.27,-5.83,-9.94
1890,-21.3,-23.6,-24.4,-16.2,-1.4,1.0,4.0,3.0,-0.3,-4.4,-11.4,-15.5,-22.57,-14.0,2.67,-5.37,-9.21
1891,-20.9,-30.5,-21.2,-16.5,-2.1,1.6,3.2,4.6,-1.0,-7.4,-11.3,-20.6,-22.3,-13.27,3.13,-6.57,-10.18
1892,-19.7,-18.5,-24.2,-15.5,-4.4,2.2,3.6,4.5,-0.1,-1.0,-9.4,-14.1,-19.6,-14.7,3.43,-3.5,-8.05
1893,-16.7,-20.5,-20.8,-14.8,-6.0,1.0,4.2,5.8,2.7,-2.9,-8.1,-17.2,-17.1,-13.87,3.67,-2.77,-7.78
1894,-23.9,-28.8,-24.8,-16.6,-2.7,-1.8,4.5,4.1,0.3,-3.1,-12.0,-19.6,-23.3,-14.7,2.27,-4.93,-10.37
1895,-14.2,-12.6,-19.4,-13.5,-5.6,0.4,4.8,4.0,-0.9,-3.0,-10.3,-16.5,-15.47,-12.83,3.07,-4.73,-7.23
1896,-26.1,-29.4,-26.3,-19.6,-7.1,1.1,4.3,6.0,2.3,-1.3,-11.1,-13.8,-24.0,-17.67,3.8,-3.37,-10.08
1897,-22.6,-29.3,-19.2,-14.5,-4.2,0.9,5.0,4.5,0.3,-3.9,-10.6,-17.4,-21.9,-12.63,3.47,-4.73,-9.25
1898,-25.2,-29.0,-17.5,-13.4,-3.3,1.5,2.7,4.7,0.1,-2.7,-15.0,-25.2,-23.87,-11.4,2.97,-5.87,-10.19
1899,-21.5,-23.8,-18.7,-8.9,-2.6,1.1,3.9,4.5,0.8,-5.3,-12.3,-16.5,-23.5,-10.07,3.17,-5.6,-8.28
1900,-19.0,-11.2,-13.2,-15.7,-1.2,3.4,5.6,5.2,0.1,-4.9,-10.5,-20.7,-15.57,-10.03,4.73,-5.1,-6.84
1901,-21.7,-16.8,-16.4,-14.4,-4.4,0.3,3.1,3.3,0.8,-5.9,-8.4,-15.5,-19.73,-11.73,2.23,-4.5,-8.0
1902,-23.3,-19.4,-22.4,-10.5,-2.6,2.7,5.8,6.6,0.7,-2.9,-8.2,-18.3,-19.4,-11.83,5.03,-3.47,-7.65
1903,-18.6,-25.1,-22.3,-11.5,-3.6,0.8,3.7,2.8,1.3,-2.0,-9.2,-10.5,-20.67,-12.47,2.43,-3.3,-7.85
1904,-25.7,-24.0,-20.8,-16.2,-1.5,0.2,4.6,6.6,1.0,-7.7,-11.1,-15.1,-20.07,-12.83,3.8,-5.93,-9.14
1905,-24.1,-24.2,-15.3,-5.3,-2.4,0.5,4.3,4.9,0.0,-4.1,-7.1,-18.1,-21.13,-7.67,3.23,-3.73,-7.57
1906,-24.6,-25.5,-21.3,-15.7,-2.4,0.2,4.7,7.8,2.0,-5.1,-11.0,-15.4,-22.73,-13.13,4.23,-4.7,-8.86
1907,-25.9,-24.9,-24.4,-16.6,-5.7,0.7,4.5,5.0,1.4,-1.3,-11.4,-14.3,-22.07,-15.57,3.4,-3.77,-9.41
1908,-20.4,-23.2,-14.9,-8.7,-3.0,1.1,7.7,3.9,2.3,-4.8,-10.5,-17.5,-19.3,-8.87,4.23,-4.33,-7.33
1909,-26.7,-19.8,-13.8,-11.5,-0.9,2.0,4.1,4.2,2.4,-5.1,-7.5,-21.9,-21.33,-8.73,3.43,-3.4,-7.88
1910,-27.1,-26.5,-21.9,-13.2,-2.7,0.2,3.5,7.8,1.5,-4.6,-8.5,-16.8,-25.17,-12.6,3.83,-3.87,-9.02
1911,-22.9,-27.3,-18.9,-10.7,-3.8,1.4,5.0,4.1,1.0,-2.4,-8.9,-18.1,-22.33,-11.13,3.5,-3.43,-8.46
1912,-17.4,-14.3,-19.7,-8.6,-2.6,2.9,3.8,4.7,1.8,-5.3,-8.7,-14.4,-16.6,-10.3,3.8,-4.07,-6.48
1913,-18.6,-15.6,-22.2,-14.9,-4.1,2.5,3.9,3.1,0.7,-3.0,-15.0,-18.6,-16.2,-13.73,3.17,-5.77,-8.48
1914,-23.7,-26.4,-19.7,-14.7,-5.0,-1.7,3.0,3.5,0.1,-4.5,-11.3,-18.5,-22.9,-13.13,1.6,-5.23,-9.91
1915,-23.2,-24.5,-21.3,-15.5,-0.3,1.6,3.3,3.9,3.7,-3.1,-6.9,-12.1,-22.07,-12.37,2.93,-2.1,-7.87
1916,-19.6,-18.5,-6.9,-17.5,0.4,0.2,2.2,4.9,1.3,-6.1,-8.9,-15.4,-16.73,-8.0,2.43,-4.57,-6.99
1917,-7.6,-11.7,-17.8,-15.3,-7.4,-0.1,5.6,4.7,-0.4,-7.9,-16.2,-21.3,-11.57,-13.5,3.4,-8.17,-7.95
1918,-27.4,-23.1,-20.3,-16.3,-2.3,-1.2,3.3,3.7,2.1,-5.4,-15.4,-19.9,-23.93,-12.97,1.93,-6.23,-10.18
1919,-22.9,-23.6,-17.5,-19.1,-1.6,-0.7,3.3,2.9,0.2,-1.4,-5.4,-11.9,-22.13,-12.73,1.83,-2.2,-8.14
1920,-25.0,-22.5,-22.7,-9.5,-4.0,1.1,3.7,3.8,0.9,-5.3,-13.4,-17.7,-19.8,-12.07,2.87,-5.93,-9.22
1921,-21.6,-24.5,-22.9,-15.5,-2.1,1.0,4.4,4.3,0.0,-5.1,-6.7,-17.2,-21.27,-13.5,3.23,-3.93,-8.82
1922,-21.2,-28.6,-21.7,-11.1,-5.7,0.2,2.5,1.9,-0.3,-1.9,-8.5,-12.9,-22.33,-12.83,1.53,-3.57,-8.94
1923,-25.4,-21.3,-23.7,-6.0,-0.9,1.7,5.7,5.6,1.9,-2.9,-5.9,-10.9,-19.87,-10.2,4.33,-2.3,-6.84
1924,-14.8,-26.1,-19.2,-9.0,0.3,2.8,4.0,3.7,1.1,-5.4,-7.6,-19.3,-17.27,-9.3,3.5,-3.97,-7.46
1925,-26.2,-22.1,-16.5,-13.7,-4.5,1.7,2.2,2.7,1.1,-4.9,-6.2,-10.5,-22.53,-11.57,2.2,-3.33,-8.08
