YEAR     JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     DJF     MAM     JJA     SON     ANN
1829   999.9  999.9  999.9  999.9  999.9    5.4    8.9    8.4    7.3    0.9   -2.8   -3.4  999.90  999.90  999.90    5.53  999.90
1830    -3.4   -3.8   -2.6   -3.0    0.7    6.1    8.1    7.7    6.9    2.2    0.3   -4.8   -2.63   -3.13    4.97    5.60    1.20
1831    -9.5   -6.3   -5.0   -2.5    2.4  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.90   -4.60  999.90  999.90  999.90
1832   999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.90  999.90  999.90  999.90  999.90
1833   999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.90  999.90  999.90  999.90  999.90
1834   999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.90  999.90  999.90  999.90  999.90
1835   999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.90  999.90  999.90  999.90  999.90
1836   999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.90  999.90  999.90  999.90  999.90
1837   999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.90  999.90  999.90  999.90  999.90
1838   999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.90  999.90  999.90  999.90  999.90
1839   999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.90  999.90  999.90  999.90  999.90
1840    -9.7   -4.0   -4.8   -1.0    1.2    5.8    8.8    9.9    6.5    1.6   -3.5   -3.8   -5.67   -3.27    5.27    6.00    0.58
1841    -7.5   -6.5   -4.4    0.5    3.3    6.1    9.3   10.5    5.4    0.8   -0.8   -1.7   -3.33   -3.47    6.23    5.57    1.25
1842    -3.2   -3.4   -5.4   -2.2    2.9    5.1    8.7   12.1    5.7   -0.2   -3.4   -3.3   -3.30   -3.67    5.57    5.87    1.12
1843    -3.0   -5.8   -7.1   -3.1    0.9    4.4    7.8   10.8    7.3    0.7   -1.2   -2.8   -2.33   -5.33    4.37    6.27    0.74
1844    -7.2  -11.2   -6.6    1.3    4.4    6.1    6.6   11.5    6.5    1.7   -3.3   -3.3   -4.60   -5.50    5.70    6.57    0.54
1845    -2.1   -9.4   -7.4   -4.8    0.3    7.2    8.7    9.7    7.1    0.7    0.5   -3.2   -1.60   -7.20    5.40    5.83    0.61
1846    -6.6   -8.3   -2.6   -0.1    0.7    6.4   10.4   10.8    6.7    4.9   -0.9   -6.0   -4.50   -3.67    5.83    7.47    1.28
1847    -3.6   -8.1   -6.1   -3.8   -0.2    6.6    9.5   12.0    9.3    2.2   -0.2   -1.5   -1.77   -6.00    5.30    7.83    1.34
1848    -6.0   -5.8   -3.1   -1.4    1.6    5.3    7.4    8.8    7.2    0.4   -4.3   -3.4   -4.57   -3.43    4.77    5.47    0.56
1849    -8.7   -5.2   -5.0   -1.8    0.8    4.9   11.0    9.9    6.4    0.0   -1.4   -5.0   -5.03   -4.00    5.57    5.43    0.49
1850    -7.9   -6.7   -8.8   -0.9    1.1    4.4    9.2    9.4    3.7    0.0   -4.2   -5.4   -5.83   -5.47    4.90    4.37   -0.51
1851    -4.0   -6.3   -6.7   -1.7    1.0    6.7   11.9    9.7    7.3    2.9   -2.2   -4.1   -3.43   -4.90    6.53    6.63    1.21
1852    -9.6   -7.8   -3.9   -4.0    4.3    6.6    9.0    9.4    6.4   -0.3   -4.4   -6.4   -6.80   -5.23    6.63    5.17   -0.06
1853    -2.0   -7.8   -7.2   -0.4    2.0    7.5   10.5    8.7    8.8    2.4    2.3   -1.4   -0.37   -5.13    6.67    6.63    1.95
1854    -4.4   -7.0   -1.0   -2.7    1.8    8.4    9.0   10.7    6.2    2.6   -3.0   -4.7   -4.03   -3.57    6.40    6.50    1.33
1855    -5.8   -7.3   -6.3    0.2    2.1    5.6    7.0    8.4    5.7   -1.2   -2.0   -5.5   -4.43   -4.47    4.90    4.30    0.07
1856   -10.0   -8.0   -8.0   -4.2   -1.1    4.4    6.1    7.5    5.8    0.2   -5.3   -6.7   -7.33   -6.73    3.13    4.50   -1.61
