Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1949,-24.8,-18.4,-20.3,-19.5,-7.2,1.4,3.8,2.9,-4.4,-17.5,-20.5,-18.8,,-15.67,2.7,-14.13,-11.94
1950,-22.5,-25.7,-22.4,-16.4,-6.2,2.0,3.2,1.9,-5.3,-11.9,-15.0,-25.2,-22.33,-15.0,2.37,-10.73,-11.96
1951,-27.34571611253197,-22.453337595907925,-21.45292780748663,-16.505187165775396,-7.533120204603581,2.1837723785166236,2.310639386189258,2.2091943734015342,-2.851931818181818,-15.418660714285714,-23.22272727272727,-25.558125,-24.73826086956522,-15.19970588235294,2.2377237851662404,-13.823522727272728,-12.908288043478262
1952,-21.14571611253197,-23.653337595907928,-21.45292780748663,-18.555187165775397,-5.83312020460358,0.883772378516624,3.6106393861892583,2.7091943734015347,-4.151931818181818,-14.118660714285713,-17.922727272727272,-21.808124999999997,-23.45326086956522,-15.31470588235294,2.40272378516624,-12.053522727272728,-11.978288043478262
1953,-21.145716112531968,-25.453337595907925,-26.152927807486627,-16.660187165775397,-4.83312020460358,2.733772378516624,3.210639386189258,3.7091943734015347,-2.9519318181818175,-11.318660714285713,-15.722727272727273,-19.108125,-22.80826086956522,-15.91970588235294,3.21772378516624,-9.988522727272727,-11.27828804347826
1954,-22.34571611253197,-18.503337595907926,-26.75292780748663,-17.7601871657754,-6.083120204603581,0.133772378516624,3.010639386189258,1.9091943734015344,-4.251931818181817,-12.718660714285715,-18.435454545454544,-19.958125,-19.98826086956522,-16.904705882352943,1.68772378516624,-11.977045454545458,-11.786576086956522
1955,-24.44571611253197,-25.853337595907927,-20.04792780748663,-17.710187165775395,-9.128120204603581,-0.06622762148337602,1.7606393861892582,1.7091943734015345,-2.4519318181818175,-11.818660714285713,-19.82272727272727,-20.958125,-23.42326086956522,-15.66970588235294,1.13272378516624,-11.358522727272728,-12.37828804347826
1956,-21.94571611253197,-21.853337595907924,-24.75292780748663,-17.410187165775397,-10.028120204603582,-0.21622762148337601,3.910639386189258,1.6091943734015346,-6.051931818181818,-14.368660714285713,-17.272727272727273,-11.808124999999999,-21.588260869565218,-17.43470588235294,1.7677237851662402,-12.553522727272728,-12.088288043478261
1957,-18.44571611253197,-22.603337595907927,-20.04792780748663,-18.810187165775396,-6.33312020460358,1.233772378516624,4.010639386189258,2.7091943734015342,-4.051931818181818,-10.418660714285714,-16.522727272727273,-22.708125000000003,-17.61826086956522,-15.10470588235294,2.6527237851662404,-10.318522727272729,-10.568288043478262
1958,-18.055716112531968,-23.468337595907926,-19.26292780748663,-16.2051871657754,-6.92812020460358,0.988772378516624,6.1406393861892585,2.3091943734015343,-5.721931818181817,-15.788660714285713,-21.972727272727273,-21.573124999999997,-21.41326086956522,-14.16970588235294,3.1427237851662397,-14.483522727272728,-11.713288043478261
1959,-24.235716112531968,-23.888337595907927,-24.53292780748663,-16.255187165775396,-6.08812020460358,1.833772378516624,2.530639386189258,1.4141943734015343,-4.816931818181818,-10.693660714285713,-18.46272727272727,-21.7,-23.23326086956522,-15.66470588235294,1.9227237851662402,-11.318522727272729,-12.088288043478261
1960,-17.44571611253197,-24.803337595907927,-22.42292780748663,-16.365187165775396,-4.118120204603581,1.108772378516624,4.1906393861892575,2.489194373401534,-4.276931818181819,-13.698660714285714,-19.562727272727273,-24.828125,-20.94826086956522,-14.339705882352941,2.59272378516624,-12.50352272727273,-11.44828804347826
1961,-22.57571611253197,-26.798337595907928,-24.26792780748663,-17.500187165775394,-9.41812020460358,0.858772378516624,4.110639386189258,1.4041943734015345,-4.4519318181818175,-11.388660714285713,-16.827727272727273,-22.023125,-24.73826086956522,-17.099705882352943,2.12772378516624,-10.878522727272728,-12.563288043478263
1962,-20.965716112531968,-21.318337595907927,-21.64792780748663,-17.360187165775397,-7.263120204603581,0.04377237851662398,5.255639386189259,1.9641943734015346,-4.421931818181818,-13.658660714285713,-17.927727272727275,-20.913125,-21.43826086956522,-15.459705882352939,2.41772378516624,-11.99352272727273,-11.583288043478262
1963,-23.10071611253197,-26.643337595907926,-22.36792780748663,-16.505187165775396,-7.523120204603581,-0.14122762148337603,3.065639386189258,2.7791943734015345,-5.546931818181818,-12.933660714285713,-21.51772727272727,-22.843125,-23.55326086956522,-15.499705882352941,1.90272378516624,-13.323522727272728,-12.713288043478261
1964,-23.33571611253197,-23.748337595907927,-19.50792780748663,-16.2801871657754,-9.25312020460358,0.15877237851662399,2.920639386189258,3.0841943734015347,-5.416931818181817,-14.133660714285714,-20.867727272727272,-20.353125,-23.30826086956522,-15.054705882352941,2.05772378516624,-13.463522727272728,-12.358288043478261
1965,-24.68571611253197,-19.96333759590793,-22.68792780748663,-15.170187165775397,-4.858120204603581,0.42377237851662397,3.3606393861892583,1.3491943734015344,-4.711931818181817,-13.248660714285712,-15.167727272727273,-22.913125,-21.66826086956522,-14.279705882352939,1.7077237851662401,-11.033522727272729,-11.428288043478261
1966,-25.87071611253197,-24.778337595907928,-29.09292780748663,-18.1351871657754,-7.093120204603581,2.333772378516624,4.370639386189258,3.6291943734015346,-3.3969318181818178,-18.19866071428571,-21.44772727272727,-21.878124999999997,-24.52326086956522,-18.14470588235294,3.4477237851662403,-14.338522727272728,-13.373288043478261
1967,-27.44071611253197,-27.288337595907926,-23.83292780748663,-16.020187165775397,-3.0681202046035807,1.538772378516624,4.010639386189258,1.5891943734015344,-2.586931818181818,-16.233660714285712,-20.72772727272727,-21.528125,-25.53826086956522,-14.34470588235294,2.38272378516624,-13.17352272727273,-12.673288043478262
1968,-25.06571611253197,-26.498337595907927,-25.53292780748663,-17.085187165775395,-4.83812020460358,3.148772378516624,3.710639386189258,2.0091943734015345,-6.0369318181818175,-17.318660714285713,-21.86272727272727,-23.263125000000002,-24.36826086956522,-15.85970588235294,2.95772378516624,-15.063522727272728,-13.173288043478262
1969,-23.69571611253197,-26.013337595907927,-24.81292780748663,-21.210187165775398,-5.018120204603581,0.793772378516624,2.885639386189258,3.6291943734015346,-4.281931818181818,-12.628660714285713,-18.802727272727275,-21.123124999999998,-24.32826086956522,-17.04970588235294,2.43772378516624,-11.893522727272728,-12.62828804347826
1970,-22.50071611253197,-28.583337595907928,-21.75792780748663,-17.255187165775396,-6.5781202046035805,0.7537723785166239,3.640639386189258,1.7641943734015344,-2.931931818181818,-10.993660714285713,-20.812727272727273,-20.883125,-24.06826086956522,-15.23470588235294,2.05272378516624,-11.568522727272729,-12.228288043478262
1971,-27.01571611253197,-20.54333759590793,-25.76292780748663,-16.105187165775398,-6.0781202046035805,2.628772378516624,4.410639386189258,2.1291943734015346,-5.756931818181817,-16.353660714285713,-24.277727272727272,-21.163125,-22.818260869565222,-16.01970588235294,3.0577237851662398,-15.453522727272729,-12.818288043478262
1972,-15.730716112531969,-26.218337595907926,-20.48792780748663,-20.7201871657754,-5.558120204603581,0.563772378516624,3.245639386189258,2.439194373401534,-3.256931818181818,-10.768660714285712,-14.692727272727272,-23.503124999999997,-21.03826086956522,-15.62970588235294,2.08272378516624,-9.56352272727273,-11.158288043478262
1973,-17.92071611253197,-28.398337595907925,-24.18792780748663,-18.045187165775395,-7.37312020460358,0.728772378516624,3.280639386189258,2.359194373401534,-5.541931818181818,-15.843660714285713,-22.39272727272727,-23.803125,-23.27326086956522,-16.57470588235294,2.12272378516624,-14.58352272727273,-13.108288043478261
1974,-16.83571611253197,-23.298337595907928,-23.09292780748663,-17.575187165775397,-7.908120204603581,-0.14122762148337603,4.335639386189259,2.9541943734015343,-5.906931818181818,-12.723660714285714,-20.44772727272727,-24.248125,-21.31826086956522,-16.229705882352942,2.38272378516624,-13.018522727272728,-12.068288043478262
1975,-27.16071611253197,-24.248337595907927,-25.807927807486628,-15.985187165775397,-7.603120204603581,0.11877237851662399,3.115639386189258,2.3641943734015345,-5.491931818181818,-15.003660714285713,-21.432727272727274,-25.633125,-25.21826086956522,-16.50470588235294,1.8627237851662402,-13.968522727272727,-13.548288043478262
1976,-23.220716112531967,-18.618337595907928,-15.68792780748663,-16.2601871657754,-4.528120204603581,-0.20122762148337603,5.770639386189258,2.0541943734015344,-2.076931818181818,-12.703660714285714,-21.342727272727274,-18.588124999999998,-22.49326086956522,-12.19470588235294,2.53772378516624,-12.033522727272729,-10.768288043478261
1977,-21.635716112531966,-27.028337595907928,-27.857927807486632,-18.180187165775397,-5.783120204603581,0.5187723785166239,3.205639386189258,,-4.801931818181817,-13.738660714285714,-20.31772727272727,-21.003124999999997,-22.41826086956522,-17.30970588235294,1.94544757033248,-12.943522727272729,-12.746576086956523
1978,-29.81071611253197,-26.21333759590793,-25.85292780748663,-16.335187165775398,-5.26812020460358,-0.46622762148337604,3.580639386189258,3.0191943734015343,-5.406931818181818,-13.233660714285712,-22.85272727272727,-17.788125,-25.67826086956522,-15.854705882352942,2.04272378516624,-13.823522727272728,-13.21828804347826
1979,-22.77071611253197,-27.823337595907926,-18.47792780748663,-18.450187165775397,-8.208120204603581,-0.15122762148337604,4.200639386189258,2.5591943734015343,-3.136931818181818,-13.038660714285713,-20.312727272727273,-21.503125,-22.79826086956522,-15.08470588235294,2.2027237851662402,-12.153522727272728,-12.138288043478262
