YEAR     JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     DJF     MAM     JJA     SON     ANN
1827     1.4    1.3    3.2    6.6    9.6   12.0   13.2   13.0   12.1   10.1    5.5    5.4    4.10    3.70   11.60   11.73    7.78
1828     4.3    3.4    4.8    6.4    7.4   13.4   14.7   14.3   12.7   11.8    6.8    5.4    5.50    4.87   11.83   12.93    8.78
1829     2.0    3.8    4.3    5.3   10.0   12.0   14.0   12.6    9.8    7.1    4.5    3.4    3.30    4.47   12.00    9.83    7.40
1830     3.0    2.2    4.9    7.1   10.4   11.0   13.5   11.9   11.6    9.2    5.3    1.6    3.30    4.73   11.63   10.90    7.64
1831     2.3    2.8    5.4    7.2    9.3   13.5   14.5   15.1   12.3   10.4    4.0    5.9    4.07    5.13   12.43   12.60    8.56
1832     5.0    5.3    5.2    7.9    8.5   12.7   12.5   13.6   11.1    9.2    6.7    4.4    5.37    6.13   11.23   11.30    8.51
1833     2.5    3.2    3.2    6.2   10.8   11.0   12.7   11.5   11.0    9.1    4.6    3.3    3.47    4.20   11.50   10.53    7.43
1834     3.5    4.2    4.6    6.2    9.3   14.5   14.5   14.0   11.3    8.4    6.0    6.5    5.33    5.00   12.77   11.23    8.58
1835     4.0    3.8    4.6    5.7    7.8   11.1   12.1   12.9   11.4    7.1    6.9    3.9    4.93    4.70   10.33   10.47    7.61
1836     3.6    2.7    3.7    5.2    8.8   11.2   11.5   11.2    8.8    7.2    4.2    2.9    3.57    3.87   10.50    9.07    6.75
1837     3.5    3.7    2.0    3.9    7.3   10.7   10.4   12.3   10.6    9.2    4.6    5.0    4.37    3.20    9.47   10.70    6.93
1838     0.6   -0.8    3.2    4.0    7.1    9.1   12.3   11.5    9.9    7.2    3.6    4.6    2.93    2.13    9.50    9.53    6.02
1839     1.9    2.7    1.9    5.6    7.2   10.7   13.2   11.9   11.3    8.2    5.5    3.9    3.77    3.40   10.37   10.47    7.00
1840     3.5    2.9    4.7    7.7    7.1   10.2   11.4   13.4    9.5    7.5    5.0    3.5    4.00    5.10    9.57   10.13    7.20
1841     1.3    3.2    6.4    6.3    9.7   10.5   11.0   12.0   11.1    5.9    3.6    3.4    2.77    5.30   10.40    9.67    7.03
1842     2.9    4.3    4.6    7.4   10.2   11.9   12.5   13.9   11.3    7.6    3.9    6.4    4.40    5.43   11.53   10.93    8.08
1843     3.9    0.5    3.4    5.9    7.8   10.1   12.5   13.8   12.4    5.9    4.8    6.7    5.13    3.27   10.13   10.70    7.31
1844     4.2    0.8    3.7    7.9    8.8   10.4   11.7   12.1   10.3    7.5    5.7    2.6    4.17    4.13   10.30    9.97    7.14
1845     3.9    2.1    2.4    7.3    8.4   11.9   11.9   12.0   10.0    8.4    6.0    2.7    4.20    3.93   10.73   10.13    7.25
1846     5.5    5.8    4.1    5.9    9.2   14.2   13.7   15.1   12.7    9.2    7.1    2.6    5.07    5.27   12.37   12.33    8.76
1847     3.9    2.9    4.9    5.7    9.0   11.6   14.0   13.3    9.0    8.5    6.7    3.8    4.80    4.50   11.53   10.27    7.78
1848     3.3    3.2    4.6    5.7   10.3   11.5   12.2   12.2   11.0    7.6    4.7    4.4    4.13    4.50   11.33   10.27    7.56
1849     3.6    4.7    5.1    5.5    9.3    9.8   12.7   12.3   11.3    7.3    5.4    4.1    4.37    5.10   10.60   10.30    7.59
1850     2.5    5.1    4.7    6.8    8.3   12.1   13.7   12.4   10.4    7.1    5.2    5.1    4.27    5.53   11.37    9.97    7.78
1851     5.1    4.4    4.4    6.4    8.6   11.2   11.5   12.3   10.8    9.0    3.9    6.1    5.03    5.07   10.43   10.70    7.81
1852     4.3    4.0    5.1    8.7   10.3   13.0   16.4   16.1   11.6    7.8    4.6    4.0    4.30    5.93   13.23   11.83    8.82
1853     3.4    0.5    2.9    6.9    9.5   13.0   14.7   13.5   11.5    8.8    6.5    3.1    4.33    3.43   12.40   11.27    7.86
1854     2.2    3.6    6.8    7.1    9.1   11.7   13.0   13.0   12.5    7.5    4.9    3.1    3.40    5.83   11.27   11.00    7.88
1855     3.1   -0.6    2.1    6.2    6.6   11.3   15.2   13.6   11.2    7.1    5.7    3.3    4.03    2.57   11.03   10.63    7.07
1856     3.0    4.5    4.2    7.0    8.2   10.9   12.8   12.0   10.1    8.8    3.9    3.3    3.40    5.23   10.63   10.30    7.39
