YEAR     JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     DJF     MAM     JJA     SON     ANN
1829   -10.6  -13.8   -8.4   -1.2    8.3   14.4   18.3   14.7   12.1    4.7   -3.1   -6.5   -6.73   -7.80   13.67   10.50    2.41
1830    -8.2   -8.4   -2.2    1.6    6.3   13.0   16.9   14.6   10.5    6.4    3.0   -3.0   -2.73   -3.00   12.07   10.50    4.21
1831   -10.5   -5.0   -6.3    2.9    9.6   16.6   18.9   15.8    9.0    5.9    1.4   -3.7   -4.27   -2.80   15.03   10.23    4.55
1832    -3.8   -0.8   -1.2    3.1    7.6   14.0   14.1   14.6    9.0    7.0    0.6   -2.4   -1.87    0.37   11.90   10.20    5.15
1833    -2.7   -4.8   -4.8    0.9    8.6   14.4   17.0   12.5   11.8    8.3    3.8   -4.3   -1.07   -2.90   13.33   10.87    5.06
1834   -10.0   -3.4   -1.1    3.2    9.1   14.9   17.4   19.0    9.7    5.5   -0.7   -3.3   -4.67   -0.43   13.80   11.40    5.03
1835    -2.5   -1.9   -1.1    1.4    7.1   15.0   15.5   13.2   12.1    6.2   -2.4   -9.9   -4.93   -0.53   12.53   10.50    4.39
1836    -6.5   -3.9    1.1    3.7    7.5   12.0   15.0   13.9    9.0    6.9   -0.3   -4.0   -3.60    0.30   11.50    9.93    4.53
1837    -6.5   -2.3   -5.1    1.1    9.0   14.4   15.3   16.4   10.2    5.0    3.2   -3.9   -2.40   -2.10   12.90   10.53    4.73
1838   -12.9  -12.1   -7.1    0.3    7.6   13.3   17.4   14.2   13.7    4.4    0.4   -1.9   -4.80   -6.30   12.77   10.77    3.11
1839    -4.6   -6.6   -8.4   -0.6   12.0   14.4   18.9   15.8   11.4    7.0   -0.7   -7.5   -4.27   -5.20   15.10   11.40    4.26
1840    -6.9   -7.6   -4.3    1.5    6.4   13.4   14.6   15.7   12.6    5.1   -2.2   -7.6   -5.57   -3.47   11.47   11.13    3.39
1841    -8.8   -8.0   -2.4    3.3   10.3   13.9   15.0   15.7   11.2    5.7    1.5    1.1   -2.07   -2.37   13.07   10.87    4.88
1842    -5.1   -1.6   -2.0    0.9    9.9   14.3   16.6   18.2    9.8    4.0   -1.3    0.2   -2.07   -0.90   13.60   10.67    5.33
1843    -0.8   -3.2   -4.7   -0.6    5.3   13.7   17.1   18.2   11.0    4.7   -0.2   -0.2   -0.40   -2.83   12.03   11.30    5.03
1844    -7.8  -14.8   -5.3    1.4   10.2   12.1   14.9   16.4   12.0    6.4   -1.4   -6.6   -5.27   -6.23   12.40   11.60    3.12
1845    -0.4  -11.4   -8.3    0.3    6.8   13.6   17.4   16.6   11.4    4.4    3.3   -2.0    0.30   -6.47   12.60   10.80    4.31
1846    -7.1  -10.6    0.4    2.7    7.5   13.9   18.1   21.0   11.6    8.9    2.3   -5.8   -3.53   -2.50   13.17   13.83    5.24
1847    -3.4  -10.3   -4.8   -1.8    7.6   15.4   16.4   18.4   13.4    5.5    4.8    0.2    0.53   -5.63   13.13   12.43    5.12
1848    -9.8   -2.8   -0.4    4.5    9.4   14.0   15.4   14.7   11.1    6.3    1.4   -2.2   -3.53    0.43   12.93   10.70    5.13
1849    -9.1   -4.5   -4.0    0.5    9.4   11.8   15.5   16.0   10.8    5.1    1.6   -4.9   -4.13   -2.67   12.23   10.63    4.02
1850   -13.4   -5.2   -6.2    1.8   10.0   14.0   17.8   17.3   10.7    5.8   -0.8    0.0   -4.73   -3.20   13.93   11.27    4.32
1851    -4.4   -6.7   -6.0    3.5    7.5   14.2   16.9   14.5   11.7    7.7    3.7   -0.2   -0.30   -3.07   12.87   11.30    5.20
1852    -4.2   -8.2   -2.3   -1.8    8.6   16.2   17.4   16.6   11.8    1.9   -3.7   -2.3   -3.40   -4.10   14.07   10.10    4.17
1853    -2.1   -6.8   -7.6   -0.6    9.2   16.2   18.1   14.6   11.4    6.9    3.4   -2.0   -0.23   -5.00   14.50   10.97    5.06
1854    -8.0   -6.6   -2.3    2.2   10.7   16.1   19.4   18.5    9.3    7.2   -0.4   -0.4   -2.93   -2.23   15.40   11.67    5.47
1855    -6.4  -12.1   -4.6    1.5    8.6   15.3   20.9   15.4   10.4    6.6   -0.1   -7.7   -4.73   -5.07   14.93   10.80    3.98
1856    -5.5   -9.1   -6.5    1.5    7.8   12.8   16.0   12.5   10.0    5.7   -5.7   -3.8   -5.00   -4.70   12.20    9.40    2.98
1857    -8.4   -2.4   -1.7    1.3    7.7   12.9   16.2   17.7    9.8    7.4    1.4    0.3   -2.23   -0.93   12.27   11.63    5.18
1858    -2.5   -4.8   -3.3    1.7    9.4   15.4   20.6   18.7   13.3    6.3   -3.1   -2.4   -2.67   -2.13   15.13   12.77    5.78
1859    -0.9   -1.6   -2.0    2.1   10.2   16.4   17.0   14.9   11.6    4.5    2.3   -2.7   -0.43   -0.50   14.53   10.33    5.98
1860    -3.6   -8.2   -4.5    3.3    8.1   15.1   18.4   16.5   12.0    5.3   -0.6   -7.3   -3.83   -3.13   13.87   11.27    4.54
1861   -14.3   -3.6   -0.5    1.0    6.8   16.1   20.3   16.3   10.3    8.0   -1.1   -1.2   -5.53   -1.03   14.40   11.53    4.84
1862   -13.4  -10.7   -5.6    1.8    9.0   12.4   14.0   13.3   10.3    6.5    0.9   -4.4   -5.63   -4.83   11.80   10.03    2.84
1863    -0.1   -1.4   -1.0    3.0    8.0   14.5   15.2   15.1   13.4    8.4    3.5   -1.3    0.70    0.20   12.57   12.30    6.44
1864    -4.3   -2.7   -2.2    2.6    5.5   14.8   18.5   13.0   10.4    2.0   -4.4   -2.2   -3.63   -0.77   12.93    8.47    4.25
1865    -4.1  -11.6   -6.2    1.5    8.9   11.4   18.8   13.8   10.6    4.3    2.7   -1.3   -0.90   -5.43   13.03    9.57    4.07
1866     0.9   -7.9   -6.2    2.8    6.7   16.0   15.9   16.4   14.7    5.4   -0.5   -4.4   -1.33   -3.77   12.87   12.17    4.98
1867   -12.6   -4.6   -6.7   -0.5    2.8   13.0   16.3   15.2    9.6    6.7   -1.9  -10.1   -8.20   -3.93   10.70   10.50    2.27
1868    -9.3   -6.7   -2.2    2.1    9.4   13.9   19.3   19.3   11.5    7.2   -1.3   -2.7   -4.43   -2.27   14.20   12.67    5.04
1869    -5.8   -1.9   -1.4    3.5    8.4   13.0   16.9   16.0   11.2    5.7    0.3   -0.8   -2.10    0.07   12.77   10.97    5.42
1870    -2.8   -9.5   -3.7    3.7    8.2   14.6   18.2   14.9   10.3    4.3    2.2  -10.6   -3.73   -3.17   13.67    9.83    4.15
1871    -8.1  -17.4    0.3    0.4    6.9   12.5   18.2   14.7    8.7    4.8   -1.0   -4.3   -4.47   -5.57   12.53    9.40    2.98
1872    -0.6   -4.8   -2.6    4.1   11.0   17.0   18.4   15.7   10.6    7.7    3.3   -3.2   -0.17   -1.10   15.47   11.33    6.38
1873    -1.5   -5.6   -2.6    1.1    7.9   15.7   19.1   15.3   13.2    7.3    0.2   -1.2   -0.83   -2.37   14.23   11.93    5.74
1874     1.3   -3.1   -1.9    2.7    6.7   13.2   17.2   14.5   11.2    9.3    0.4   -5.2   -1.17   -0.77   12.37   11.67    5.53
1875   -12.1   -5.9   -4.8   -0.2    8.4   14.4   18.1   15.2    9.8    2.4   -2.8  -11.2   -8.70   -3.63   13.63    9.13    2.61
1876    -7.6   -7.6   -1.2    2.4    5.2   17.8   18.2   15.6   12.0    5.4   -2.1  -12.5   -7.40   -2.13   13.73   11.00    3.80
1877    -7.1   -7.6   -6.4    0.0    5.9   12.9   16.3   14.3    8.1    5.8    5.8    0.4   -0.30   -4.67   11.70    9.40    4.03
1878    -4.7   -2.1   -2.4    3.9    8.1   14.4   15.2   15.3   12.8    9.2    3.0   -1.5   -1.07   -0.20   12.57   12.43    5.93
1879    -5.5   -5.0   -3.1    1.6    9.4   14.6   16.4   17.1   12.7    6.0   -2.1   -5.3   -4.30   -2.17   13.47   11.93    4.73
1880    -5.7   -2.8   -3.0    2.4    8.6   13.8   17.1   17.4   13.0    0.1   -0.6   -5.1   -3.80   -1.13   13.17   10.17    4.60
1881    -9.9  -10.1   -6.9   -1.0    6.5   13.8   16.0   13.9   11.3    3.9    2.3   -0.8   -2.80   -6.00   12.10    9.70    3.25
1882     1.0   -2.2    0.1    3.2   10.1   14.8   17.9   18.6   13.1    5.4   -3.3   -6.9   -3.07    0.37   14.27   12.37    5.98
1883    -7.9   -7.0   -5.8    2.4    8.1   16.5   16.3   14.8   11.6    6.2    4.7   -1.2   -1.47   -3.47   13.63   10.87    4.89
1884    -3.3   -4.2   -2.7    0.9    6.9   14.2   17.3   14.5   12.8    7.3   -0.4   -5.2   -2.97   -2.00   12.80   11.53    4.84
1885    -3.8   -3.6   -3.1    1.7    6.8   12.8   19.0   15.6    9.4    4.6   -0.4   -2.1   -2.10   -1.67   12.87    9.87    4.74
1886    -6.6   -7.9   -5.4    3.9    8.7   15.6   17.5   16.8   10.4    5.4    4.0   -0.5   -1.03   -3.13   13.93   10.87    5.16
1887    -1.7   -0.8   -1.4    3.3    9.4   13.9   16.8   15.4   12.4    4.1    0.3   -4.9   -2.10    0.37   13.37   10.63    5.57
