YEAR     JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     DJF     MAM     JJA     SON     ANN
1816     0.4   -0.3    1.9    5.6    9.5   13.2   12.7   12.8   10.8    5.8    3.2    2.5    2.03    2.40   11.80    9.80    6.51
1817     4.0    4.0    2.5    4.8   10.3   13.1   14.1   12.7   12.7    4.8    6.3   -0.9    3.13    3.77   12.50   10.07    7.37
1818     1.6    2.4    3.0    3.5   10.4   13.5   15.8   13.5   12.5    9.5    5.5    4.1    3.73    2.97   13.23   11.83    7.94
1819     3.2    2.1    2.3    5.7   10.4   12.8   16.2   16.9   12.3    6.3    1.8    0.0    1.67    3.37   13.13   11.83    7.50
1820     2.2    2.1    1.9    6.1   10.5   12.0   14.9   12.9   11.1    7.3    4.8    0.9    2.63    3.37   12.47   10.43    7.23
1821     0.5    2.5    3.3    8.2    8.7   12.9   14.6   13.7   13.4   10.1    4.9    5.1    3.50    4.67   12.07   12.40    8.16
1822     2.0    4.7    4.3    7.6   11.3   11.9   14.7   14.6   10.4    7.3    6.3    2.3    3.53    5.53   12.63   10.77    8.12
1823    -3.8   -0.8    3.4    5.7    8.8   12.5   12.6   14.2   11.0    9.5    6.1    3.5    1.93    2.77   11.30   11.57    6.89
1824     4.1    3.2    2.9    7.1    8.9   13.6   14.1   14.8   13.9    7.6    3.7    2.6    3.47    4.40   12.20   12.10    8.04
1825     3.6    1.9    3.8    6.7   11.6   12.3   15.7   15.1   12.5    8.5    3.9    3.5    3.67    4.13   13.20   12.03    8.26
1826     1.3    5.9    5.3    6.1   11.1   14.7   16.3   13.9   10.9    8.6    4.2    4.6    3.37    5.77   14.03   11.13    8.57
1827    -0.4   -1.8    1.0    6.5   10.6   12.3   12.9   14.5   12.7    8.4    2.2    4.4    2.07    1.90   11.93   11.87    6.94
1828     0.8   -0.3    4.1    5.6   10.2   13.9   17.0   15.2   12.0    7.8    5.2    2.6    2.87    3.13   13.70   11.67    7.84
1829    -0.8   -0.5    2.4    5.3   10.1   13.8   14.4   13.9   11.0    6.4    0.8    0.4    0.13    2.40   12.77   10.43    6.43
