Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1886,-7.9,-7.1,-3.0,-2.6,3.5,3.9,6.8,6.2,3.9,0.0,-2.2,-6.3,-6.77,-0.7,5.63,0.57,-0.4
1887,-10.8,-12.7,-8.8,0.5,2.9,5.6,7.1,7.5,4.3,0.4,0.0,-6.7,-9.93,-1.8,6.73,1.57,-0.89
1888,-3.6,-4.2,-3.2,0.3,5.2,6.2,7.6,8.9,3.7,3.3,-5.9,-8.6,-4.83,0.77,7.57,0.37,0.81
1889,-8.0,-4.8,-3.9,-1.9,2.7,3.8,7.9,5.5,5.0,0.9,-5.4,-7.2,-7.13,-1.03,5.73,0.17,-0.45
1890,-10.9,-7.7,-5.3,-0.5,2.7,5.2,7.0,6.5,2.3,0.4,-4.8,-7.0,-8.6,-1.03,6.23,-0.7,-1.01
1891,-7.4,-11.3,-4.6,-1.5,4.2,8.2,8.1,7.4,3.9,-1.0,-3.7,-6.5,-8.57,-0.63,7.9,-0.27,-0.35
1892,-8.2,-6.9,-3.7,0.7,4.8,7.3,7.0,6.8,3.9,4.1,-4.0,-2.8,-7.2,0.6,7.03,1.33,0.75
1893,-3.2,-6.9,-4.5,-1.4,2.9,5.9,7.4,7.7,5.5,0.0,-1.3,-9.4,-4.3,-1.0,7.0,1.4,0.22
1894,-9.2,-13.7,-8.7,-4.1,3.8,4.1,7.1,6.5,4.4,2.4,-5.3,-6.4,-10.77,-3.0,5.9,0.5,-1.59
1895,-3.4,-1.1,-2.7,0.1,3.3,6.8,7.1,6.3,4.6,3.6,-4.7,-8.7,-3.63,0.23,6.73,1.17,0.93
1896,-8.1,-8.8,-6.6,-1.7,1.6,5.7,6.5,6.8,3.4,1.6,-5.6,-12.1,-8.53,-2.23,6.33,-0.2,-1.44
1897,-6.5,-7.0,-3.7,-4.6,2.1,7.9,5.9,6.2,5.9,1.8,-3.4,-6.6,-8.53,-2.07,6.67,1.43,-0.17
1898,-10.8,-13.2,-4.3,-1.8,3.0,6.8,6.2,7.1,3.5,-0.5,-7.2,-8.5,-10.2,-1.03,6.7,-1.4,-1.64
