Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1996,-22.7,-22.6,-24.3,-14.0,-5.8,0.5,2.9,0.8,-4.2,-12.9,-15.1,-13.1,,,,,
1997,-24.2,-26.4,-23.3,-17.6,-3.6,2.8,3.7,1.7,-6.8,-9.1,-15.2,-20.6,,,,,
1998,-21.1,-27.9,-23.6,-11.4,-2.0,4.9,5.5,2.4,0.2,-9.9,-14.0,-19.4,,,,,
1999,-25.1,-28.0,-23.6,-19.1,-9.6,2.3,6.3,5.0,-0.9,-11.7,-15.0,-22.2,,,,,
2000,-25.0,-19.0,-21.5,-10.8,-5.7,4.6,8.0,5.0,-1.0,-11.0,-12.0,-20.8,,,,,
2001,-24.3,-26.3,-24.0,-16.1,-5.0,2.0,6.0,5.0,-1.0,-8.0,-17.0,-18.0,,,,,
2002,-23.0,-29.0,-26.0,-19.0,-3.0,2.0,4.8,4.7,1.5,-6.5,-15.2,-15.0,,,,,
2003,-19.5,-24.5,-19.4,-15.0,-3.6,4.3,6.1,4.0,-1.5,-5.1,-14.4,-16.5,,,,,
2004,-25.7,-24.9,-26.7,-14.3,-3.5,1.3,3.9,5.1,-1.0,-3.2,-14.5,-24.4,,,,,
2005,-23.5,-21.0,-18.5,-17.3,-4.6,3.5,5.5,5.2,-1.9,-9.3,-15.5,-18.0,,,,,
2006,-26.7,-23.8,-20.3,-15.0,-1.6,1.6,6.7,5.8,0.4,-5.8,-16.8,-21.8,,,,,
2007,-21.1,-19.3,-22.7,-14.2,-5.7,3.2,6.8,6.3,-1.0,-9.0,-16.3,-20.3,,,,,
2008,-25.2,-25.0,-23.9,-15.4,-4.8,5.6,6.4,5.8,-1.1,-8.9,-16.7,-14.7,,,,,
2009,-23.2,-22.2,-23.4,-16.6,-3.0,2.8,8.5,6.7,-2.6,-10.6,-18.1,-14.7,,,,,
2010,-24.9,-17.2,-20.6,-13.4,-1.9,2.9,6.6,6.5,-0.7,-8.1,-9.6,-14.1,,,,,
