YEAR     JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     DJF     MAM     JJA     SON     ANN
1722   999.9    0.8   -0.6    2.6    9.0   13.1   14.9   14.9   11.4    8.6    5.7    2.1  999.90    0.93   12.33   11.63  999.90
1723    -0.8    0.7    4.1    7.9   10.0   15.4   16.1   16.0   11.1    8.4    2.5    2.1    1.27    4.23   13.83   11.83    7.79
1724     3.4   -1.4   -0.8    2.9    7.2   14.2   13.7   13.7    9.6    4.4   -0.2   -6.6   -1.13    0.23   11.70    9.23    5.01
1725    -0.5   -0.7    0.3    2.5   10.0   12.6   14.4   13.6    9.4    4.1    3.3   -1.2    0.53    0.70   12.33    9.03    5.65
1726    -7.2   -2.3   -2.7    4.6   12.8   17.7   16.8   13.4   10.1    4.0    0.4   -5.3   -4.03   -0.13   15.77    9.17    5.19
1727    -2.0   -4.7   -2.5    1.1    9.7   15.6   16.5   16.9   14.8    6.3    2.0    1.5    0.50   -2.03   13.93   12.67    6.27
1728    -1.7   -6.5   -0.6    2.9    9.1   12.3   15.6   14.1   11.2    6.2    0.8   -3.4   -1.43   -1.40   12.33   10.50    5.00
1729    -6.3   -6.6   -4.0    2.3    6.8   13.0   15.1   14.4   11.4    5.3    0.2   -0.8   -2.30   -2.77   11.63   10.37    4.23
1730    -2.6   -2.7   -4.0    2.5    9.6   15.2   19.6   19.1   10.6    5.1    1.0   -1.8   -1.13   -1.40   14.80   11.60    5.97
1731    -2.4   -4.3   -1.1    3.0    8.5   12.3   14.3   14.5   10.5    7.0    3.2   -1.9   -0.37   -0.80   11.70   10.67    5.30
1732    -5.3   -3.3    3.1    5.6    7.8   11.7   16.9   15.1   10.2    6.3    1.9   -5.7   -3.03    1.80   12.13   10.53    5.36
1733     0.5    1.4    1.5    4.2    6.8   12.1   18.2   14.4    9.7    6.2    2.7    1.6    1.60    2.37   12.37   10.10    6.61
1734    -1.0    1.4    0.7    3.7    9.6   14.5   18.4   16.7   10.8    6.5    0.3   -1.9   -0.87    1.93   14.17   11.33    6.64
1735     1.2   -0.2    1.7    5.9   11.1   16.8   17.0   16.9   12.4    5.8    0.9   -3.0   -0.30    2.47   14.97   11.70    7.21
1736    -0.9   -4.7   -2.4    3.3    9.4   14.2   18.9   16.9   11.0    7.2    3.1    1.4    1.20   -1.27   14.17   11.70    6.45
1737    -1.3   -1.3    1.7    1.7    9.8   15.0   17.0   14.4   11.8    5.9    1.5    1.1    0.43    0.70   13.93   10.70    6.44
1738     0.0   -0.3    1.2    4.8    8.0   14.7   16.9   15.6   12.5    8.5    1.0    1.7    0.90    1.90   13.20   12.20    7.05
1739    -5.9   -6.1   -1.1    0.7    8.1   13.6   15.9   13.7   11.8    4.8   -0.6    0.7   -1.93   -2.17   12.53   10.10    4.63
1740    -5.7   -6.1   -0.3    4.5    5.6   12.5   14.8   13.4   12.9    2.7    0.3   -1.2   -2.20   -0.63   10.97    9.67    4.45
1741    -6.5    0.3    0.5    3.8    7.0   12.0   15.8   15.0   10.0    7.6    3.9    0.3   -0.77    1.53   11.60   10.87    5.81
1742    -4.7   -0.3   -1.0    2.7    6.8   11.6   15.0   12.1    7.9    6.1    1.4   -2.2   -1.83    0.47   11.13    8.70    4.62
1743     1.0   -0.7    0.9    3.6    9.6   18.9   15.8   17.1   10.9    3.2    3.0    0.6    1.53    1.27   14.77   10.40    6.99
1744    -3.2   -1.5   -2.6    6.1    9.9   13.8   16.7   14.0   10.8    4.0    1.0   -4.1   -2.10    0.67   13.47    9.60    5.41
1745    -5.5   -8.2   -4.8    0.0    9.3   16.8   15.5   15.5   10.3    5.8    0.0   -3.3   -2.93   -4.33   13.87   10.53    4.28
1746    -0.4   -4.6   -6.5    1.4   10.5   14.1   16.7   13.4   10.8    4.4   -1.5    0.8   -0.37   -3.23   13.77    9.53    4.92
1747    -5.7  -10.4   -4.2    2.2    9.2   18.6   15.3   14.4   12.1    7.4   -1.1   -5.0   -3.93   -4.13   14.37   11.30    4.40
1748    -4.4   -3.1   -9.8    1.0   10.1   16.6   18.3   17.5   10.3    4.8   -0.7   -2.2   -2.43   -3.97   15.00   10.87    4.87
1749    -2.3   -7.7   -5.7    1.2   11.7   14.3   16.7   17.0   11.0    4.7    2.3   -2.8   -0.93   -4.07   14.23   10.90    5.03
1750    -1.2    0.3    4.5    5.7    8.5   14.3   17.2   16.9   11.7    1.6   -6.3   -5.9   -4.47    3.50   13.33   10.07    5.61
1751    -5.6   -8.9    0.3    3.2    7.5   12.4   15.9   15.5    9.9    5.8   -0.4   -2.6   -2.87   -1.80   11.93   10.40    4.42
1752    -5.9   -4.5   -1.6    1.7    6.4   14.8   21.6   19.8   10.3    6.8    2.3   -2.2   -1.93   -1.47   14.27   12.30    5.79
1753    -3.5   -4.5   -0.1    2.2    6.1   11.8   15.7   15.3   10.8    7.3   -1.5  -13.2   -6.07   -0.80   11.20   11.13    3.87
1754    -6.5   -5.9   -6.2    2.1   10.0   14.7   14.2   14.4    9.6    5.6    0.0   -3.4   -3.30   -3.33   12.97    9.87    4.05
1755    -8.1   -9.6   -3.6    4.3    8.2   15.7   18.4   13.8    9.1    5.4   -0.1   -3.5   -3.90   -2.97   14.10    9.43    4.17
1756    -4.2   -1.6   -2.7   -1.0    4.5   15.2   16.5   12.8   10.5    4.9   -4.2   -4.1   -4.17   -1.77   12.07    9.40    3.88
1757    -8.3   -3.7   -3.5    5.2    7.7   15.1   19.4   15.9   10.6    2.1    0.8   -4.4   -3.97   -0.67   14.07    9.53    4.74
