Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DJF,MAM,JJA,SON,ANN
1947,,,,,-10.76299232736573,3.6273369565217393,5.554495798319328,,-7.388693181818181,-19.04505681818182,-28.82022727272727,-39.153636363636366,,,4.087635869565217,-18.41553977272727,
1948,-38.180842391304346,-42.74964194373402,-37.343414322250645,-29.178849104859335,-8.677992327365729,2.9823369565217392,6.149495798319327,2.8874184782608694,-4.878693181818181,-20.88005681818182,-29.62022727272727,-42.11363636363636,-40.04028532608696,-25.063081841432222,3.9588179347826085,-18.460539772727273,-20.071987577639753
1949,-39.67584239130434,-38.13464194373402,-33.468414322250645,-29.323849104859335,-11.65299232736573,3.542336956521739,5.839495798319327,3.332418478260869,-6.898693181818181,-22.33005681818182,-31.045227272727267,-38.013636363636365,-39.98528532608695,-24.818081841432225,4.193817934782608,-20.090539772727272,-20.046987577639754
1950,-40.28584239130434,-38.31964194373401,-34.19841432225064,-30.663849104859338,-11.28299232736573,2.0623369565217393,6.059495798319327,3.297418478260869,-9.703693181818181,-24.89005681818182,-29.005227272727268,-33.21363636363637,-38.88528532608696,-25.37808184143222,3.7588179347826083,-21.200539772727275,-20.271987577639752
1951,-39.14584239130434,-40.45464194373402,-36.078414322250644,-27.448849104859335,-7.612992327365729,2.577336956521739,5.654495798319328,2.827418478260869,-5.598693181818181,-22.63505681818182,-29.08022727272727,-39.013636363636365,-37.615285326086955,-23.71308184143222,3.638817934782608,-19.105539772727273,-19.476987577639754
1952,-37.345842391304345,-37.67464194373402,-38.648414322250645,-26.758849104859337,-4.262992327365729,3.832336956521739,6.644495798319328,3.272418478260869,-8.773693181818182,-23.65505681818182,-31.540227272727268,-28.388636363636365,-38.02528532608696,-23.223081841432222,4.533817934782608,-21.325539772727275,-19.11698757763975
1953,-36.580842391304344,-39.80964194373402,-34.16841432225064,-19.063849104859337,-9.24799232736573,1.7173369565217391,4.329495798319328,0.9224184782608691,-6.423693181818181,,-29.32022727272727,-37.608636363636364,-34.94028532608696,-20.828081841432223,2.2738179347826084,-18.931079545454548,-18.353975155279503
1954,-38.56084239130435,-37.53964194373401,-38.18341432225064,-28.148849104859337,-9.47299232736573,3.547336956521739,5.619495798319328,4.362418478260869,-3.8536931818181808,-19.29505681818182,-29.47022727272727,-34.288636363636364,-37.91528532608696,-25.26808184143222,4.463817934782608,-17.54053977272727,-18.99698757763975
1955,-34.10084239130435,-36.729641943734016,-40.40841432225065,-26.698849104859335,-13.03299232736573,1.1123369565217391,3.7094957983193275,3.532418478260869,-6.923693181818181,-16.26505681818182,-30.040227272727268,-37.248636363636365,-35.05528532608696,-26.71308184143222,2.7388179347826083,-17.740539772727274,-19.321987577639753
1956,-36.54584239130435,-35.909641943734016,-38.038414322250645,-23.073849104859335,-13.94299232736573,0.752336956521739,5.509495798319328,2.817418478260869,-11.748693181818181,-24.81005681818182,-32.76022727272727,-37.218636363636364,-36.58028532608695,-25.01808184143222,2.978817934782608,-23.11053977272727,-20.486987577639752
1957,-40.58584239130435,-35.79464194373402,-36.36341432225065,-31.753849104859334,-10.79799232736573,4.562336956521738,6.674495798319327,2.702418478260869,-6.658693181818181,-20.24005681818182,-33.93522727272727,-41.778636363636366,-37.880285326086955,-26.303081841432224,4.598817934782608,-20.275539772727274,-20.196987577639753
1958,-29.385842391304344,-37.019641943734015,-36.68341432225064,-29.888849104859336,-9.17299232736573,1.832336956521739,5.854495798319328,4.402418478260869,-5.788693181818181,-20.34005681818182,-32.50522727272727,-30.023636363636363,-36.075285326086956,-25.24808184143222,3.9788179347826085,-19.545539772727274,-18.77698757763975
1959,-32.095842391304345,-38.699641943734015,-39.803414322250646,-28.063849104859337,-13.412992327365728,1.107336956521739,6.179495798319328,4.962418478260869,-7.978693181818181,-24.58505681818182,-29.39022727272727,-35.25363636363636,-33.62028532608696,-27.093081841432223,4.033817934782608,-20.65053977272727,-19.591987577639753
1960,-36.16084239130434,-35.20464194373402,-39.76841432225064,-30.123849104859335,-7.892992327365729,4.2673369565217385,6.549495798319327,6.0524184782608685,-5.188693181818181,-17.93005681818182,-29.40522727272727,-34.443636363636365,-35.55528532608696,-25.928081841432224,5.573817934782609,-17.505539772727275,-18.366987577639755
1961,-37.71584239130435,-38.25964194373402,-40.038414322250645,-24.788849104859334,-14.127992327365728,0.012336956521739072,4.469495798319327,1.9874184782608693,,-24.93505681818182,-27.865227272727267,-31.438636363636366,-36.82028532608696,-26.318081841432225,2.1088179347826084,-20.401079545454547,-20.573975155279502
1962,-34.970842391304345,-38.934641943734015,-32.44841432225064,-24.333849104859336,-10.042992327365729,3.237336956521739,7.469495798319327,3.887418478260869,-8.22369318181818,-25.180056818181818,-30.59522727272727,-31.608636363636364,-35.130285326086955,-22.278081841432222,4.818817934782609,-21.335539772727273,-18.531987577639754
1963,-37.080842391304344,-35.464641943734016,-39.33841432225064,-25.818849104859336,-13.642992327365729,0.26233695652173905,5.7494957983193276,2.672418478260869,-9.70869318181818,-21.735056818181818,-26.65022727272727,-32.73863636363636,-34.73028532608696,-26.263081841432225,2.8438179347826082,-19.365539772727274,-19.46698757763975
1964,-36.29084239130435,-38.95464194373402,-36.65341432225064,-29.838849104859335,-12.222992327365729,2.6423369565217394,3.5394957983193276,3.492418478260869,-8.613693181818181,-24.98505681818182,-33.41022727272727,-32.10363636363636,-36.01028532608696,-26.23808184143222,3.178817934782608,-22.335539772727273,-20.37198757763975
1965,-35.17584239130434,-35.339641943734016,-34.85341432225064,-30.303849104859335,-7.3179923273657295,2.307336956521739,4.119495798319328,3.502418478260869,-9.078693181818181,-23.63505681818182,-27.20022727272727,-33.54863636363636,-34.22028532608695,-24.15808184143222,3.263817934782608,-19.97053977272727,-18.87198757763975
1966,-38.04584239130435,-35.24464194373402,-39.688414322250644,-30.818849104859336,-9.37299232736573,0.24233695652173906,5.0844957983193275,5.162418478260869,-7.503693181818181,-25.54505681818182,-35.01022727272727,-33.803636363636365,-35.62528532608695,-26.628081841432223,3.4488179347826082,-22.685539772727275,-20.42698757763975
1967,-36.27584239130435,-41.91464194373401,-35.16841432225064,-25.908849104859335,-3.247992327365729,1.942336956521739,4.5044957983193274,3.172418478260869,-9.20869318181818,-19.47505681818182,-35.10022727272727,-32.21363636363637,-37.34528532608696,-21.443081841432225,3.1588179347826086,-21.265539772727273,-19.201987577639752
1968,-40.10084239130435,-39.73464194373402,-36.59341432225064,-29.563849104859337,-10.467992327365728,3.152336956521739,6.2544957983193274,2.687418478260869,-7.458693181818181,-19.040056818181817,-32.60022727272727,-36.82863636363636,-37.36528532608696,-25.543081841432222,3.9838179347826084,-19.700539772727275,-19.891987577639753
1969,-33.66584239130435,-35.419641943734014,-38.898414322250645,-27.723849104859333,-10.642992327365729,1.287336956521739,4.594495798319327,3.587418478260869,-9.418693181818181,-20.375056818181818,-34.93522727272727,-34.89363636363636,-35.31528532608696,-25.753081841432223,3.1088179347826084,-21.580539772727274,-19.84698757763975
1970,-36.180842391304346,-38.02464194373401,-34.983414322250646,-31.833849104859336,-14.35299232736573,-0.5576630434782609,5.309495798319327,2.5824184782608692,-8.198693181818182,-20.05005681818182,-29.91022727272727,-37.99363636363637,-36.38028532608696,-27.058081841432223,2.3988179347826084,-19.38553977272727,-20.27698757763975
1971,-39.08584239130435,-42.62464194373402,-34.188414322250644,-26.508849104859337,-10.147992327365728,4.227336956521739,7.014495798319327,2.002418478260869,-5.588693181818181,-22.235056818181818,-34.25022727272727,-40.56863636363636,-39.91528532608696,-23.618081841432222,4.368817934782609,-20.690539772727274,-20.11698757763975
1972,-39.415842391304345,-38.839641943734016,-36.18341432225064,-30.568849104859336,-14.95299232736573,-0.17266304347826095,4.564495798319328,2.322418478260869,-10.968693181818182,-21.65505681818182,-34.31522727272727,-43.33863636363637,-39.62028532608696,-27.23808184143222,2.188817934782608,-22.310539772727275,-21.896987577639752
1973,-36.31084239130435,-43.364641943734014,-40.55841432225064,-31.718849104859334,-12.732992327365729,2.442336956521739,4.449495798319328,3.297418478260869,-9.238693181818181,-19.055056818181818,-29.02522727272727,-30.498636363636365,-41.020285326086956,-28.33808184143222,3.348817934782608,-19.105539772727273,-20.786987577639753
1974,-42.400842391304344,-41.339641943734016,-41.568414322250646,-29.233849104859335,-11.647992327365728,-1.662663043478261,4.859495798319328,3.822418478260869,-10.423693181818182,-22.775056818181817,-30.51022727272727,-34.43363636363637,-38.09528532608695,-27.483081841432224,2.2938179347826084,-21.23553977272727,-21.336987577639754
1975,-42.98084239130435,-38.044641943734014,-40.568414322250646,-28.453849104859337,-10.842992327365728,3.577336956521739,4.869495798319328,1.7224184782608691,-9.023693181818182,-22.48505681818182,-31.71022727272727,-34.748636363636365,-38.50028532608695,-26.623081841432224,3.3438179347826082,-21.075539772727275,-20.77198757763975
1976,-34.885842391304344,-37.65464194373402,-36.86841432225064,-31.553849104859335,-16.022992327365728,1.072336956521739,5.049495798319327,1.3924184782608693,-7.783693181818181,-25.42005681818182,-32.795227272727274,-34.61863636363636,-35.780285326086954,-28.148081841432223,2.4538179347826086,-22.000539772727272,-20.906987577639754
1977,-27.985842391304345,-40.93964194373402,-42.47841432225064,-25.663849104859338,-11.377992327365728,2.727336956521739,6.644495798319328,4.27741847826087,-9.29869318181818,-21.38505681818182,-34.47022727272727,-40.218636363636364,-34.52528532608696,-26.50308184143222,4.503817934782608,-21.715539772727276,-19.836987577639754
1978,-36.79584239130435,-28.134641943734017,-37.17341432225064,-26.853849104859336,-11.057992327365728,0.3823369565217391,6.774495798319328,2.367418478260869,-7.498693181818181,-30.940056818181823,-34.71522727272727,-30.493636363636362,-35.06528532608695,-25.028081841432222,3.1288179347826084,-24.38553977272727,-19.976987577639754
1979,-34.19084239130434,-48.02964194373402,-38.04341432225064,-24.318849104859336,-10.737992327365728,-1.377663043478261,5.139495798319327,0.22741847826086914,-11.81369318181818,-25.095056818181817,-33.24022727272727,-38.718636363636364,-37.58528532608696,-24.36308184143222,1.2838179347826084,-23.385539772727274,-21.40198757763975
1980,-34.98084239130435,-32.85964194373402,-36.883414322250644,-32.558849104859334,-12.257992327365729,-0.7976630434782609,5.4544957983193285,1.807418478260869,-11.373693181818181,-19.18505681818182,-32.310227272727275,-34.72363636363636,-35.530285326086954,-27.233081841432224,2.1088179347826084,-20.960539772727273,-20.27698757763975
1981,-32.400842391304344,-36.02964194373402,-36.96341432225064,-29.318849104859336,-9.377992327365728,4.772336956521739,5.839495798319327,1.822418478260869,-6.8186931818181815,-20.250056818181818,-24.10022727272727,-29.423636363636366,-34.40028532608696,-25.218081841432223,4.098817934782608,-17.060539772727275,-17.966987577639753
1982,-32.60084239130435,-39.21964194373402,-37.843414322250645,-31.443849104859336,-12.99299232736573,2.787336956521739,5.094495798319327,2.137418478260869,-7.91369318181818,-22.58505681818182,-35.10522727272727,-37.35363636363637,-33.76528532608695,-27.428081841432224,3.2888179347826085,-21.870539772727273,-20.31198757763975
1983,-35.885842391304344,-37.92464194373402,-34.36841432225064,-27.333849104859336,-13.69299232736573,2.092336956521739,5.769495798319328,4.227418478260869,-5.103693181818182,-24.98505681818182,-33.41022727272727,-32.42363636363636,-37.07028532608696,-25.12808184143222,3.9788179347826085,-21.170539772727274,-19.68698757763975
1984,-40.57584239130435,-44.239641943734014,-38.89341432225065,-31.928849104859335,-9.832992327365728,3.282336956521739,5.264495798319327,2.1674184782608688,-8.47869318181818,-21.360056818181818,-35.04522727272727,-37.50363636363637,-39.09528532608695,-26.883081841432222,3.5238179347826084,-21.625539772727272,-21.27698757763975
1985,-30.295842391304348,-41.63964194373402,-41.16841432225064,-31.268849104859335,-11.47799232736573,2.287336956521739,6.589495798319327,0.6974184782608692,-3.803693181818181,-23.43505681818182,-34.820227272727266,-33.718636363636364,-36.49528532608696,-27.968081841432223,3.143817934782608,-20.685539772727275,-20.38698757763975
1986,-41.26084239130435,-31.654641943734017,-42.13841432225064,-27.268849104859335,-10.272992327365728,-0.47766304347826094,4.284495798319328,2.6824184782608693,-11.703693181818181,-26.57005681818182,-32.44022727272727,-33.708636363636366,-35.560285326086955,-26.558081841432223,2.1138179347826087,-23.570539772727273,-20.93698757763975
1987,-35.66584239130435,-45.364641943734014,-39.94841432225064,-33.643849104859335,-13.08299232736573,3.527336956521739,6.009495798319328,3.857418478260869,-8.57369318181818,-24.07005681818182,-33.62522727272727,-35.74363636363636,-38.26028532608696,-28.88808184143222,4.4138179347826085,-22.090539772727272,-21.33198757763975
1988,-39.41084239130434,-34.864641943734014,-32.67341432225064,-21.833849104859336,-7.1529923273657285,1.942336956521739,7.224495798319328,3.647418478260869,-6.373693181818181,-15.85505681818182,-32.310227272727275,-34.653636363636366,-36.69028532608695,-20.553081841432224,4.223817934782609,-18.180539772727272,-17.79698757763975
1989,-42.60084239130435,-36.739641943734014,-38.92341432225065,-26.588849104859335,-13.767992327365729,2.082336956521739,4.174495798319327,3.0374184782608693,-8.10869318181818,-24.15005681818182,-32.28522727272727,-36.82863636363636,-38.01028532608696,-26.42308184143222,3.0488179347826083,-21.515539772727273,-20.861987577639752
1990,-39.74084239130435,-40.934641943734015,-35.64341432225064,-24.353849104859336,-7.372992327365729,4.402336956521739,5.5844957983193275,3.827418478260869,-5.9436931818181815,-24.20005681818182,-35.03522727272727,-36.04863636363636,-39.18028532608696,-22.45808184143222,4.558817934782608,-21.725539772727274,-19.71698757763975
1991,-40.18584239130435,-38.37464194373402,-34.633414322250644,-26.023849104859337,-7.667992327365729,2.997336956521739,6.179495798319328,2.937418478260869,-5.718693181818181,-20.35005681818182,-27.12022727272727,-35.82363636363637,-38.215285326086956,-22.773081841432223,3.993817934782608,-17.730539772727276,-18.711987577639754
1992,-40.75584239130435,-38.46964194373402,-37.568414322250646,-31.263849104859336,-14.677992327365729,0.512336956521739,5.1294957983193274,1.267418478260869,-7.218693181818181,-20.67005681818182,-31.52522727272727,-33.693636363636365,-38.36528532608696,-27.83808184143222,2.2588179347826083,-19.805539772727272,-20.896987577639752
1993,-36.320842391304346,-35.32464194373402,-36.85341432225064,-24.963849104859335,-11.43299232736573,3.077336956521739,7.309495798319327,2.022418478260869,-8.28869318181818,-18.77505681818182,-33.430227272727265,-33.31363636363636,-35.13028532608696,-24.418081841432222,4.088817934782609,-20.16553977272727,-18.866987577639755
1994,-31.475842391304347,-36.45464194373402,-37.928414322250646,-27.613849104859334,-7.9429923273657295,3.3923369565217394,5.589495798319327,2.522418478260869,-5.108693181818181,-20.88005681818182,-25.83522727272727,-36.843636363636364,-33.76028532608696,-24.498081841432224,3.7838179347826086,-17.27553977272727,-18.19198757763975
1995,-38.70084239130435,-38.95964194373401,-39.38841432225064,-19.598849104859333,-13.917992327365729,3.082336956521739,7.309495798319327,3.462418478260869,-4.223693181818181,-22.360056818181818,-27.610227272727272,-35.843636363636364,-38.185285326086955,-24.303081841432224,4.568817934782608,-18.065539772727274,-18.99698757763975
1996,-37.470842391304345,-34.55464194373401,-38.46341432225064,-26.313849104859337,-10.357992327365729,1.0023369565217393,4.094495798319327,0.8324184782608691,-9.10869318181818,-23.355056818181822,-23.755227272727268,-29.648636363636363,-35.97028532608696,-25.043081841432222,1.9288179347826082,-18.740539772727274,-19.24198757763975
1997,-37.66084239130434,-41.394641943734015,-35.21341432225064,-24.113849104859334,-9.097992327365729,3.092336956521739,5.579495798319328,0.5724184782608691,-10.39869318181818,-24.65005681818182,-25.90022727272727,-34.22363636363636,-36.24528532608696,-22.808081841432223,3.0338179347826086,-20.320539772727273,-19.31698757763975
1998,-36.985842391304345,-39.26464194373402,-36.358414322250646,-25.023849104859337,-10.667992327365729,5.307336956521739,6.849495798319328,3.2674184782608693,-0.9236931818181809,-18.17005681818182,-24.505227272727268,-29.15863636363636,-36.840285326086956,-24.01808184143222,5.093817934782608,-14.535539772727272,-17.416987577639752
1999,-39.05084239130434,-37.26464194373402,-36.65341432225064,-26.988849104859337,-12.037992327365728,0.9073369565217391,6.979495798319327,4.632418478260869,-5.888693181818181,-22.57005681818182,-28.92022727272727,-41.71363636363637,-35.170285326086955,-25.22808184143222,4.128817934782608,-19.125539772727272,-19.416987577639752
2000,-39.900842391304344,-37.14964194373401,-33.36841432225064,-26.408849104859335,-12.06299232736573,3.777336956521739,6.204495798319328,0.19241847826086914,-10.28869318181818,-20.680056818181818,-29.540227272727268,-30.813636363636363,-39.600285326086954,-23.94808184143222,3.3438179347826082,-20.170539772727274,-19.681987577639752
2001,-35.89584239130434,-37.24964194373402,-34.883414322250644,-26.408849104859335,-14.037992327365728,2.512336956521739,5.514495798319327,3.027418478260869,-7.088693181818181,-22.45505681818182,-27.630227272727268,-32.03363636363637,-34.670285326086955,-25.113081841432223,3.638817934782608,-19.060539772727275,-18.891987577639753
2002,-35.67084239130435,-40.739641943734014,-35.04841432225064,-29.623849104859335,-8.85299232736573,2.827336956521739,5.034495798319328,5.352418478260869,-5.3186931818181815,-13.56505681818182,-29.40522727272727,-28.248636363636365,-36.16528532608696,-24.508081841432222,4.358817934782609,-16.09553977272727,-17.986987577639752
2003,-30.430842391304346,-37.95464194373402,-38.35341432225064,-28.533849104859335,-10.15799232736573,2.887336956521739,7.609495798319328,2.792418478260869,-3.718693181818181,-18.45005681818182,-29.735227272727272,-29.048636363636362,-32.22528532608696,-25.678081841432224,4.383817934782608,-17.300539772727273,-17.78698757763975
2004,-33.86584239130434,-36.56964194373401,-39.563414322250644,-27.538849104859338,-9.052992327365729,2.202336956521739,4.519495798319328,3.252418478260869,-7.903693181818181,-20.08005681818182,-33.11022727272727,-36.32363636363637,-33.17528532608696,-25.383081841432222,3.2788179347826083,-20.365539772727274,-19.25698757763975
2005,-34.08584239130435,-33.13464194373402,-34.983414322250646,-27.533849104859335,-8.777992327365729,4.697336956521739,7.219495798319327,4.75241847826087,-4.793693181818181,-20.32505681818182,-27.115227272727267,-34.79863636363636,-34.52528532608696,-23.76308184143222,5.508817934782608,-17.41553977272727,-17.531987577639754
2006,-34.69168478260869,-35.63964194373402,-33.04841432225064,-25.263849104859336,-6.962992327365729,1.9873369565217391,6.404495798319328,3.117418478260869,-4.343693181818181,-13.02005681818182,-26.84022727272727,-34.278636363636366,-35.22057065217391,-21.758081841432222,3.7888179347826085,-14.735539772727273,-17.213975155279503
2007,-35.595842391304345,-33.30964194373402,-39.68341432225064,-21.753849104859334,-11.93799232736573,3.292336956521739,7.914495798319328,5.432418478260869,-5.678693181818181,-18.93505681818182,-30.94522727272727,-34.233636363636364,-34.41028532608696,-24.45808184143222,5.4988179347826085,-18.520539772727272,-18.016987577639753
2008,-41.025842391304344,-34.254641943734015,-39.288414322250645,-27.658849104859335,-9.182992327365728,5.067336956521739,7.0844957983193275,3.632418478260869,-4.6986931818181805,-19.36505681818182,-26.795227272727267,-33.11363636363636,-36.520285326086956,-25.378081841432223,5.213817934782608,-16.95553977272727,-18.406987577639754
2009,-34.070842391304346,-38.74464194373402,-38.84841432225065,-27.683849104859334,-9.97799232736573,3.887336956521739,8.004495798319327,5.457418478260869,-5.703693181818181,-23.74005681818182,-23.41022727272727,-29.913636363636364,-35.32028532608696,-25.50308184143222,5.738817934782608,-17.615539772727274,-18.086987577639754
